t	V
-0.096	0.893154935461566
-0.072	0.958492306277879
-0.048	1.00393696214777
-0.024	0.997004743943003
0	1.02862896029314
0.024	1.07795257383241
0.048	1.03255877625417
0.072	0.932362043192273
0.096	0.912523972555392
0.12	0.854881940999953
0.144	0.776116566201282
0.168	0.61428127536097
0.192	0.561199489144015
0.216	0.559571719919338
0.24	0.414350588200638
0.264	0.347095100079299
0.288	0.241647760736911
0.312	0.219709498149218
0.336	0.211638203764791
0.36	0.155515290985349
0.384	0.1168442701351
0.408	0.0191811068439044
0.432	0.0258610345314841
0.456	-0.0161679385808598
0.48	-0.0595824354010729
0.504	-0.165210941487151
0.528	-0.0788710280822062
0.552	-0.048576030370729
0.576	-0.165077888882758
0.6	-0.178203495151371
0.624	-0.147117966718753
0.648	-0.128411491242265
0.672	-0.216735124907933
0.696	-0.137477646717203
0.72	-0.0901177103963235
0.744	-0.176087918690835
0.768	-0.137992985446401
0.792	-0.131410689051463
0.816	-0.122894116824551
0.84	-0.0728454187884176
0.864	-0.125613616482383
0.888	-0.0471999614482149
0.912	-0.0886646405005982
0.936	-0.0917358541976696
0.96	-0.108210549283463
0.984	-0.0385630940173382
1.008	-0.105485234076363
1.032	-0.0227534827701729
1.056	7.41322842471845E-4
1.08	-0.0758734790296004
1.104	-0.0390776863091125
1.128	0.00538181904491222
1.152	0.0195706725431872
1.176	0.0277059628394646
1.2	-0.0059431028933268
1.224	-0.024604553797576
1.248	-0.0244847035461866
1.272	-0.0059216519021392
1.296	0.0367817675920248
1.32	0.0449087962500762
1.344	0.0132747402176834
1.368	0.0261191518940235
1.392	-0.00992262133568554
1.416	0.00757894513867108
1.44	0.0121970850193116
1.464	0.021721160733533
1.488	7.39721016990175E-4
1.512	-0.038570501486378
1.536	0.0512109377557578
1.56	-0.032733790515698
1.584	0.0290696324660805
1.608	-0.0146250383220173
1.632	0.070103640343333
1.656	0.08979058259861
1.68	0.0137104621091915
1.704	0.00792959228007263
1.728	0.001266507003657
1.752	-0.00658966521744105
1.776	-0.00156064945553548
1.8	-0.0210055706841166
1.824	0.0540788786754599
1.848	-0.0051545082077463
1.872	0.0314447268696774
1.896	0.00683140098783378
1.92	0.0471901272879366
1.944	0.00370598779501583
1.968	0.0578631902880514
1.992	0.004835198008454
2.016	-0.055187373524373
2.04	0.0041646793645915
2.064	0.0226077077841019
2.088	0.0367934829640484
2.112	-0.0158392859840123
2.136	-0.0151795904294259
2.16	-0.0328087218545516
2.184	0.0226785318621427
2.208	0.0515666824226485
2.232	0.0629527182859391
2.256	0.0169917145780642
2.28	0.0469555199018911
2.304	-0.0464335516862952
2.328	0.006535164766322
2.352	-0.0495978584097647
2.376	-0.0277932146311472
2.4	0.115391374627021
2.424	-0.0394383144636789
2.448	-0.0395004114395699
2.472	0.00977829747261645
2.496	-0.016610650798383
2.52	0.0272046598352334
2.544	-0.0305340367735907
2.568	-0.0799349408367395
2.592	0.0133088910399156
2.616	0.001647304226421
2.64	0.0154104526355869
2.664	-0.0395553006225126
2.688	0.00638619541993598
2.712	0.0501054060814133
2.736	-0.0577819520578763
2.76	0.0231031575849451
2.784	0.0141599770627428
2.808	0.0122425189104872
2.832	0.00179811337536613
2.856	4.69706144412062E-4
2.88	-0.0132853373498153
2.904	-0.0509345077141216
2.928	0.0464026964305746
2.952	0.0416932811158309
2.976	0.093553503908579
3	-0.0371738614118244
3.024	-0.0945198188525334
3.048	-0.0490635266088301
3.072	-0.0602261774953621
3.096	-0.0165073485857934
3.12	-0.0138724443005643
3.144	0.0634121956500587
3.168	-0.0379322437093269
3.192	-0.00691483177295537
3.216	-0.0780723298191396
3.24	0.006766968726509
3.264	-0.0614065080981525
3.288	-9.12753311627082E-4
3.312	-0.0437708534652107
3.336	0.0246363845669807
3.36	0.032216598841157
3.384	0.0230984268349654
3.408	-0.0201570029044037
3.432	0.097130622257771
3.456	0.0431545535312046
3.48	-0.0207148760515012
3.504	0.0131898949382816
3.528	-0.0320126424393431
3.552	0.0298278565023987
3.576	-0.0578363049512518
3.6	0.0236149473394567
3.624	0.0422577523774955
3.648	0.0437006759487447
3.672	0.0454390689764709
3.696	0.0453609274322859
3.72	-6.30563553632902E-4
3.744	-0.0560338613405231
3.768	-0.0626138440169486
3.792	-0.0621880723275694
3.816	0.00783294309642384
3.84	0.0193098015999292
3.864	-0.0130870574072728
3.888	-0.0161456586175279
3.912	-0.0243693383264814
3.936	-0.00890302965899423
3.96	-0.00542610482954612
3.984	0.10573593194071
4.008	0.0115898313609136
4.032	0.0180158726006782
4.056	-0.106371119407502
4.08	-0.0587100045313726
4.104	-0.0157879467965281
4.128	-0.0397297823432868
4.152	-0.0490482396924248
